,,Clinicial Experiences,(Required Hours) [Recommened Hours],,Interpretive Guidelines,,,,Examples,,,
Total Clinical Hours,,,(2000),"Clinical hours include time spent in the actual administration of anesthesia (i.e., anesthesia time) and other time spent in the clinical area. Total clinical hours are inclusive of total hours of anesthesia time;  therefore, this number must be equal to or  greater than the total number of hours of  anesthesia time. (see Glossary,
“Clinical  hours”)",,,,"Examples of other clinical time would include in-house call, preanesthesia assessment, postanesthesia assessment, patient preparation, OR preparation, and time spent
participating in clinical rounds.",,,,
Patient Physical Status,,,,"Each patient must have only one physical status.
The Patient Physical Status categories are to be used only for learning experiences
where the student administers an anesthetic.  They are not to be used for other learning situations that cannot be counted as a case.",,,,"Students would not include the Patient Physical Status category for code blue responses, intubations outside the OR, vascular access consultations, and other situations where an
actual anesthetic is not being administered.",,,,
Class I,,,,,,,,,,,,
Class II,,,,,,,,,,,,
"Classes III – VI   (total of a, b, c & d)",,,(200) [300],,,,,,,,,
a.   Class III,,,(50) [100],,,,,,,,,
b.   Class IV,,,(10) [100],,,,,,,,,
c.    Class V,,,(0) [5],,,,,,,,,
d.   Class VI,,,,,,,,,,,,
Total Cases,,,(650) [700],,,,,,,,,
Patient Assessment†,,,,,,,,,,,,
Initial preanesthetic assessment†,,,(50)[100],"The initial preanesthetic assessment is one in which the student personally conducts the assessment by reviewing the patient’s medical history, conducting an anesthesia-focused physical assessment, and evaluating pertinent laboratory findings/diagnostic testing. This is an original assessment, not a review of or reference to a preanesthetic assessment previously conducted by another anesthesia provider. The preanesthetic assessment is evaluated by a faculty member (defined as a body of individuals entrusted with instruction, including the teaching staff, both clinical and academic, and any individuals involved in teaching or supervising the educational experiences/activities of students on a part-time or full-time basis). Clinical experiences cannot be obtained by simulation alone.",,,,"A student is assigned to the preanesthetic testing (PAT) clinic. The student conducts and documents the preanesthetic assessment of preoperative patients presenting to the PAT clinic and their performance is evaluated by the faculty member.
A patient presents for surgery and had not had a preanesthetic assessment. The student conducts and documents the preanesthetic assessment and their performance is evaluated by the faculty member.
The following example does is NOT an initial preanesthetic assessment:  A patient presents for surgery. The patient has had a preanesthetic
assessment performed in a PAT clinic or in the",,,,
,,,,,,,,"preoperative holding area by an anesthesia provider, another SRNA or by an anesthesia resident. The SRNA performing the anesthetic reviews that preanesthetic
assessment and documents that review.",,,,
Postanesthetic assessment†                        (50)[150],,,,"A postanesthetic assessment is the review by the student of all pertinent patient data and evaluation of anesthesia outcomes. This may occur anytime during the post-operative period. The student implements needed interventions or makes appropriate referrals, if indicated, based on the assessment. This is not the postanesthetic assessment required by health care facility accreditors. Due to many factors beyond the control of the student, each patient the student anesthetizes is not required to have a postanesthetic assessment performed by the student.
The program must have a process of validating postanesthetic assessments if not documented in the patient’s medical record. Documentation may be solely the student case log, recognizing the fact that the student may not be able to document the encounter in the patient’s medical record. The postanesthetic assessment can be accomplished telephonically. Clinical experiences cannot be obtained by simulation.",,,,"The SRNA is assigned to the postanesthesia care unit (PACU) under the supervision an appropriately credentialed provider. The SRNA manages (such as pain, fluids, ventilation, circulation) these patients and may determine their readiness for discharge. If allowed by the facility, the SRNA makes an entry into the patient’s medical record. Regardless of making an entry in the medical record, the SRNA notes in their case log that a postanesthetic assessment was performed. Each patient cared for in the PACU is a “case” (a “postanesthetic assessment”).
The SRNA visits their patient(s) from the previous day (or cases performed by other anesthesia providers). The SRNA reviews the medical record, interview and, if indicated, examines the patient to detect any anesthesia- related complications and assess the patient’s satisfaction with the perioperative experience. If allowed by the facility, the SRNA makes an entry into the patient’s medical record. Regardless of making an entry in the medical record, the SRNA notes in their case log that a postanesthetic assessment was performed. Each patient assessed is a “postanesthetic assessment.”
The SRNA calls their patients from the previous day. The patient is assessed telephonically for postanesthetic complications and satisfaction with the perianesthetic experience. If allowed by the facility, the SRNA makes an entry into the patient’s medical record. Regardless of making an entry in the medical record, the SRNA notes in their case log that a postanesthetic assessment was performed. Each
patient assessed is a “postanesthetic assessment.”",,,,
,,,,,,,,,,,,
